Hotel Name,Location,Price,Rating,Discount Percentage,City
Hotel Gitanjali,"Kalupur, Ahmedabad",₹ 843,2.5,16% off,Ahmedabad
Hotel Flora,"Sardar Patel Ring Road, Ahmedabad","₹ 3,672",2.5,15% off,Ahmedabad
Hotel Balaji AHMEDABAD,"Cg Road, Ahmedabad","₹ 5,947",4.3,13% off,Ahmedabad
Hotel Anupam,"Ashram Road, Ahmedabad","₹ 1,746",2.5,13% off,Ahmedabad
Hotel Angan Residency,"Off S.g. Road, Ahmedabad","₹ 4,495",2.5,13% off,Ahmedabad
Hotel Aasopalav,"Gandhinagar Road, Ahmedabad","₹ 4,479",4.4,13% off,Ahmedabad
Holiday Home Club Resort,Ahmedabad,"₹ 4,370",2.5,13% off,Ahmedabad
Gurukrupa Avenue Phase 2,Ahmedabad,"₹ 5,219",2.5,13% off,Ahmedabad
Hotel Sri Balaji Residency,"Thaltej, Ahmedabad","₹ 1,378",2.5,23% off,Ahmedabad
Hotel Siddhartha Palace,"Shahibaug, Ahmedabad","₹ 2,978",2.5,19% off,Ahmedabad
Deewanji Ni Haveli,"Khadia, Ahmedabad","₹ 6,686",4.5,10% off,Ahmedabad
Prithvi Hotel,"Maninagar, Ahmedabad","₹ 2,457",2.5,18% off,Ahmedabad
Hotel Malhar,"Off S.g. Road, Ahmedabad","₹ 7,463",2.5,14% off,Ahmedabad
Hotel Kozar,"Relief Road, Ahmedabad","₹ 1,449",4.0,48% off,Ahmedabad
Vice President,"Ellis Bridge, Ahmedabad","₹ 3,263",2.5,46% off,Ahmedabad
Hotel Rudra Regency,"Ashram Road, Ahmedabad","₹ 1,001",2.5,17% off,Ahmedabad
Rooms in Prahladnagar & S G Highway,"Prahlad Nagar, Ahmedabad","₹ 6,215",2.5,13% off,Ahmedabad
Ramdev Nagar Road Serviced Apartment,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 4,807",4.3,13% off,Ahmedabad
Pg for boys and girls,"Prahlad Nagar, Ahmedabad","₹ 6,539",2.5,13% off,Ahmedabad
Mango - Bodakdev,"Bodakdev, Ahmedabad","₹ 4,527",4.4,13% off,Ahmedabad
Leela Home Stay-4,"Thaltej, Ahmedabad","₹ 5,155",2.5,13% off,Ahmedabad
Laxmi Palace Paying Guest,"Ashram Road, Ahmedabad","₹ 5,105",2.5,13% off,Ahmedabad
Hotel Shiv Kunj,"Sardar Patel Ring Road, Ahmedabad","₹ 1,229",2.5,13% off,Ahmedabad
Hotel Sagar Inn,"Relief Road, Ahmedabad","₹ 1,880",2.5,13% off,Ahmedabad
Hotel Royal Night,"Ashram Road, Ahmedabad","₹ 1,229",4.4,13% off,Ahmedabad
Hotel Radiant,"Off S.g. Road, Ahmedabad",₹ 951,2.5,14% off,Ahmedabad
Hotel Miracle,Ahmedabad,"₹ 2,437",2.5,19% off,Ahmedabad
Hotel Mayur Palace,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 4,875",2.5,13% off,Ahmedabad
Hotel Chandra Palace,"Chandkheda, Ahmedabad","₹ 1,826",4.0,11% off,Ahmedabad
Holiday Home Ashram Road,"Ellis Bridge, Ahmedabad","₹ 6,333",4.1,13% off,Ahmedabad
Finesse International,"Prahlad Nagar, Ahmedabad","₹ 4,663",4.2,13% off,Ahmedabad
4BHK Bunglow with fully furnished,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 6,577",4.5,14% off,Ahmedabad
Hotel Riverfront,"Paldi, Ahmedabad","₹ 1,246",2.5,17% off,Ahmedabad
Hotel Campus,"Satellite 079, Ahmedabad","₹ 1,004",2.5,37% off,Ahmedabad
Mapple Tree,Ahmedabad,"₹ 4,759",2.5,13% off,Ahmedabad
Gitanjali Inn,"Ashram Road, Ahmedabad","₹ 1,389",4.4,18% off,Ahmedabad
Hotel Saari Residency,Ahmedabad,"₹ 3,743",4.8,21% off,Ahmedabad
Hotel Dreamland,Ahmedabad,"₹ 3,750",2.5,25% off,Ahmedabad
Hotel Chatako,"Nh 08, Jashoda Nagar, Ahmedabad",₹ 784,2.5,22% off,Ahmedabad
Hotel Kanak Marketed by Anant Solutions,"Ellis Bridge, Ahmedabad","₹ 3,688",2.5,22% off,Ahmedabad
The Orchid Hotel,"Odhav, Ahmedabad","₹ 3,764",4.3,16% off,Ahmedabad
The Parterre,Ahmedabad,"₹ 6,815",2.5,45% off,Ahmedabad
HOTEL GATEWAY INN,Ahmedabad,"₹ 1,606",2.5,13% off,Ahmedabad
"The Sky Imperial, Thaltej",Ahmedabad,"₹ 3,677",2.5,26% off,Ahmedabad
The Zuree Hotel,Ahmedabad,"₹ 2,446",2.5,30% off,Ahmedabad
Hotel Swell by Sky Stays,"Navrangpura, Ahmedabad","₹ 1,324",2.5,17% off,Ahmedabad
Hotel Summit Ahmedabad,"Navrangpura, Ahmedabad","₹ 2,750",4.1,65% off,Ahmedabad
Hotel Landmark,"Sardar Patel Ring Road, Ahmedabad","₹ 2,774",4.2,27% off,Ahmedabad
Hotel Lake Palace,"Vastrapur, Ahmedabad","₹ 1,237",4.1,23% off,Ahmedabad
Kanak Beacon Hotel - Ashram Road Ahmedabad,"Ashram Road, Ahmedabad","₹ 2,530",2.5,18% off,Ahmedabad
BloomSuites - Ahmedabad,"Thaltej, Ahmedabad","₹ 7,563",4.4,24% off,Ahmedabad
Hotel Royal Crown,Ahmedabad,"₹ 2,884",2.5,13% off,Ahmedabad
D Veeray By Sky Stays,"Ellis Bridge, Ahmedabad","₹ 1,335",2.5,13% off,Ahmedabad
Hotel Purple Icon - Ahmedabad,Ahmedabad,"₹ 1,740",2.5,13% off,Ahmedabad
Hotel Sigma Inn,Ahmedabad,"₹ 1,852",2.5,16% off,Ahmedabad
Hotel Royal 24,Ahmedabad,"₹ 1,195",2.5,30% off,Ahmedabad
Hotel Privilon,Ahmedabad,"₹ 1,640",2.5,16% off,Ahmedabad
Hotel Nest Sky,Ahmedabad,"₹ 1,310",2.5,13% off,Ahmedabad
Hotel Green Fortune,Ahmedabad,"₹ 3,146",2.5,13% off,Ahmedabad
The Nest Residency,Ahmedabad,"₹ 1,606",2.5,22% off,Ahmedabad
Privilon Hotel SBR,Ahmedabad,"₹ 2,622",2.5,13% off,Ahmedabad
Hotel Viva Inn,Ahmedabad,"₹ 1,622",2.5,13% off,Ahmedabad
Hotel The Era,Ahmedabad,"₹ 8,583",2.5,14% off,Ahmedabad
Hotel The Grand Suites,Ahmedabad,"₹ 3,614",2.5,22% off,Ahmedabad
Hotel sunsarovar,Ahmedabad,"₹ 1,660",2.5,13% off,Ahmedabad
Hotel Shivashish,Ahmedabad,"₹ 2,612",2.5,22% off,Ahmedabad
Hotel Royal Town,Ahmedabad,"₹ 3,407",2.5,9% off,Ahmedabad
Hotel Serenity,Ahmedabad,"₹ 2,459",2.5,22% off,Ahmedabad
Hotel Fun Regency,Ahmedabad,"₹ 1,765",4.8,20% off,Ahmedabad
"Treebo Eden Park, Ahmedabad",Ahmedabad,"₹ 1,602",2.5,64% off,Ahmedabad
Super Hotel O Jamalpur Ahmedabad Formerly Hotel Peace,"Jamalpur, Ahmedabad","₹ 1,222",2.5,18% off,Ahmedabad
Club Mahindra Kensville Golf Resort,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 8,439",4.1,25% off,Ahmedabad
Super Collection O Maninagar East Formerly Maninagar Residency,Ahmedabad,"₹ 1,342",2.5,18% off,Ahmedabad
FabHotel Crystal,Ahmedabad,"₹ 3,198",2.5,13% off,Ahmedabad
Treebo Terrazzo Suites,Ahmedabad,"₹ 2,872",2.5,65% off,Ahmedabad
Hotel Venue Inn,"Vastrapur, Ahmedabad","₹ 2,552",2.5,18% off,Ahmedabad
Hotel ABC,"Satellite, Ahmedabad","₹ 1,333",2.5,22% off,Ahmedabad
HOTEL ASIANA,"Motera, Ahmedabad","₹ 1,579",4.5,37% off,Ahmedabad
Comfort Inn sapphire Chandkheda,"Chandkheda, Ahmedabad","₹ 3,065",2.5,37% off,Ahmedabad
Hotel Elysian Residency,"Shahibaug, Ahmedabad","₹ 3,486",4.5,59% off,Ahmedabad
Treebo Grand Shivay,"Geeta Mandir Road, Ahmedabad","₹ 1,452",2.5,67% off,Ahmedabad
SRTC Hotel Aspire,"Ashram Road, Ahmedabad","₹ 2,971",2.5,13% off,Ahmedabad
HOTEL BLUE SKY,Ahmedabad,"₹ 2,263",2.5,19% off,Ahmedabad
Treebo Prince Plaza,"Prahlad Nagar, Ahmedabad","₹ 1,994",2.5,63% off,Ahmedabad
Bloom Hotel SG Highway,"Sola, Ahmedabad","₹ 4,491",2.5,21% off,Ahmedabad
"Itsy Hotels Signature, Nehru Nagar","Ambawadi, Ahmedabad","₹ 1,793",2.5,64% off,Ahmedabad
Treebo The Square,"Ranip, Ahmedabad","₹ 1,403",2.5,64% off,Ahmedabad
Hotel Lux Inn,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 1,677",4.6,33% off,Ahmedabad
Hotel Suncity,"Chandkheda, Ahmedabad","₹ 20,000",2.5,33% off,Ahmedabad
Hotel Krishna Palace Vastrapur,"Vastrapur, Ahmedabad","₹ 2,184",2.5,13% off,Ahmedabad
FabHotel Symphony Grand,Ahmedabad,"₹ 2,772",2.5,13% off,Ahmedabad
FabHotel NY Townhouse,Ahmedabad,"₹ 4,476",2.5,13% off,Ahmedabad
FabHotel Raj Ratna,Ahmedabad,"₹ 2,917",2.5,13% off,Ahmedabad
Itsy Hotels Shree Krishna Palace,"Sg Highway Ahmedabad, Ahmedabad","₹ 2,892",2.5,52% off,Ahmedabad
Hotel Shivaay,"Visat-tapovan Road, Ahmedabad","₹ 1,777",2.5,19% off,Ahmedabad
Hotel Casa Blanca,"Thaltej, Ahmedabad","₹ 2,738",4.2,22% off,Ahmedabad
Pinnacle Grand Hotel & Banquets,"Sola, Ahmedabad","₹ 4,009",2.5,20% off,Ahmedabad
Hotel Prime Villa,"Memnagar, Ahmedabad","₹ 1,999",2.5,20% off,Ahmedabad
Super Collection O Airport Road Formerly Hotel Kyra,Ahmedabad,"₹ 1,467",2.5,15% off,Ahmedabad
Super Collection O Maninagar Formerly Park Land,Ahmedabad,"₹ 1,161",2.5,14% off,Ahmedabad
Biznotel by Pride Motera,"Motera, Ahmedabad","₹ 5,332",2.5,20% off,Ahmedabad
