Hotel Name,Location,Price,Rating,Discount Percentage,City,Price_Category,Price_Band
Hotel Campus,"Satellite 079, Ahmedabad",1004,2.5,37,Ahmedabad,Budget,0-2K
Mapple Tree,Ahmedabad,4759,2.5,13,Ahmedabad,Mid-range,2K-5K
Gitanjali Inn,"Ashram Road, Ahmedabad",1389,4.4,18,Ahmedabad,Budget,0-2K
Hotel Saari Residency,Ahmedabad,3743,4.8,21,Ahmedabad,Mid-range,2K-5K
Hotel Dreamland,Ahmedabad,3750,2.5,25,Ahmedabad,Mid-range,2K-5K
Hotel Chatako,"Nh 08, Jashoda Nagar, Ahmedabad",784,2.5,22,Ahmedabad,Budget,0-2K
Hotel Kanak Marketed by Anant Solutions,"Ellis Bridge, Ahmedabad",3688,2.5,22,Ahmedabad,Mid-range,2K-5K
The Orchid Hotel,"Odhav, Ahmedabad",3764,4.3,16,Ahmedabad,Mid-range,2K-5K
The Parterre,Ahmedabad,6815,2.5,45,Ahmedabad,Luxury,5K-10K
HOTEL GATEWAY INN,Ahmedabad,1606,2.5,13,Ahmedabad,Budget,0-2K
"The Sky Imperial, Thaltej",Ahmedabad,3677,2.5,26,Ahmedabad,Mid-range,2K-5K
The Zuree Hotel,Ahmedabad,2446,2.5,30,Ahmedabad,Mid-range,2K-5K
Hotel Swell by Sky Stays,"Navrangpura, Ahmedabad",1324,2.5,17,Ahmedabad,Budget,0-2K
Hotel Summit Ahmedabad,"Navrangpura, Ahmedabad",2750,4.1,65,Ahmedabad,Mid-range,2K-5K
Hotel Landmark,"Sardar Patel Ring Road, Ahmedabad",2774,4.2,27,Ahmedabad,Mid-range,2K-5K
Hotel Lake Palace,"Vastrapur, Ahmedabad",1237,4.1,23,Ahmedabad,Budget,0-2K
Kanak Beacon Hotel - Ashram Road Ahmedabad,"Ashram Road, Ahmedabad",2530,2.5,18,Ahmedabad,Mid-range,2K-5K
BloomSuites - Ahmedabad,"Thaltej, Ahmedabad",7563,4.4,24,Ahmedabad,Luxury,5K-10K
Hotel Royal Crown,Ahmedabad,2884,2.5,13,Ahmedabad,Mid-range,2K-5K
D Veeray By Sky Stays,"Ellis Bridge, Ahmedabad",1335,2.5,13,Ahmedabad,Budget,0-2K
Hotel Purple Icon - Ahmedabad,Ahmedabad,1740,2.5,13,Ahmedabad,Budget,0-2K
Hotel Sigma Inn,Ahmedabad,1852,2.5,16,Ahmedabad,Budget,0-2K
Hotel Royal 24,Ahmedabad,1195,2.5,30,Ahmedabad,Budget,0-2K
Hotel Privilon,Ahmedabad,1640,2.5,16,Ahmedabad,Budget,0-2K
Hotel Nest Sky,Ahmedabad,1310,2.5,13,Ahmedabad,Budget,0-2K
Hotel Green Fortune,Ahmedabad,3146,2.5,13,Ahmedabad,Mid-range,2K-5K
The Nest Residency,Ahmedabad,1606,2.5,22,Ahmedabad,Budget,0-2K
Privilon Hotel SBR,Ahmedabad,2622,2.5,13,Ahmedabad,Mid-range,2K-5K
Hotel Viva Inn,Ahmedabad,1622,2.5,13,Ahmedabad,Budget,0-2K
Hotel The Era,Ahmedabad,8583,2.5,14,Ahmedabad,Luxury,5K-10K
Hotel The Grand Suites,Ahmedabad,3614,2.5,22,Ahmedabad,Mid-range,2K-5K
Hotel sunsarovar,Ahmedabad,1660,2.5,13,Ahmedabad,Budget,0-2K
Hotel Shivashish,Ahmedabad,2612,2.5,22,Ahmedabad,Mid-range,2K-5K
Hotel Royal Town,Ahmedabad,3407,2.5,9,Ahmedabad,Mid-range,2K-5K
Hotel Serenity,Ahmedabad,2459,2.5,22,Ahmedabad,Mid-range,2K-5K
